#{"t_start": 1772927231.650998, "env_id": "None"}
r,l,t
-10.0,1,0.817685
-10.0,1,0.818189
-10.0,1,0.818679
-10.0,1,0.819153
-10.0,1,0.819694
-10.0,1,0.820137
-10.0,1,0.820582
-10.0,1,0.821034
-10.0,1,0.821489
-9.99,2,0.822357
-10.0,1,0.822797
-10.0,1,0.823224
-10.0,1,0.823656
-10.0,1,0.824095
-10.0,1,0.824531
-10.0,1,0.824978
-10.0,1,0.825432
-10.0,1,0.825882
-10.0,1,0.826314
-10.0,1,0.826745
-9.99,2,0.827582
-10.0,1,0.828168
-10.0,1,0.828785
-10.0,1,0.829261
-10.0,1,0.829706
-10.0,1,0.830161
-9.99,2,0.831193
-10.0,1,0.831691
-10.0,1,0.832174
-10.0,1,0.832617
-10.0,1,0.833068
-10.0,1,0.83351
-10.0,1,0.833973
-10.0,1,0.834439
-10.0,1,0.834931
-10.0,1,0.835421
-10.0,1,0.83589
-10.0,1,0.836501
-10.0,1,0.836953
-10.0,1,0.837389
-10.0,1,0.837836
-10.0,1,0.83848
-10.0,1,0.839011
-10.0,1,0.839506
-10.0,1,0.839999
-10.0,1,0.840494
-10.0,1,0.840964
-10.0,1,0.841401
-10.0,1,0.841855
-9.99,2,0.842761
-10.0,1,0.843211
-10.0,1,0.843651
-10.0,1,0.844095
-10.0,1,0.844535
-10.0,1,0.844985
-10.0,1,0.84546
-10.0,1,0.846009
-10.0,1,0.846583
-10.0,1,0.84719
-10.0,1,0.847636
-10.0,1,0.848158
-10.0,1,0.848714
-10.0,1,0.849193
-10.0,1,0.849653
-10.0,1,0.850126
-10.0,1,0.85057
-10.0,1,0.851003
-10.0,1,0.851549
-10.0,1,0.852054
-10.0,1,0.85254
-10.0,1,0.853068
-10.0,1,0.853513
-10.0,1,0.853964
-9.99,2,0.854867
-10.0,1,0.855321
-10.0,1,0.855768
-10.0,1,0.856209
-10.0,1,0.856649
-10.0,1,0.857118
-10.0,1,0.857552
-10.0,1,0.858094
-10.0,1,0.85873
-10.0,1,0.85924
-10.0,1,0.859805
-10.0,1,0.860279
-10.0,1,0.860751
-10.0,1,0.861286
-10.0,1,0.861737
-10.0,1,0.862171
-10.0,1,0.862609
-10.0,1,0.86304
-10.0,1,0.86348
-10.0,1,0.863916
-10.0,1,0.864382
-10.0,1,0.864812
-10.0,1,0.865254
-10.0,1,0.865686
-10.0,1,0.866119
-10.0,1,0.866557
-10.0,1,0.866995
-10.0,1,0.867428
-10.0,1,0.867859
-10.0,1,0.868533
-10.0,1,0.869137
-10.0,1,0.869662
-10.0,1,0.870104
-10.0,1,0.870533
-10.0,1,0.870963
-10.0,1,0.871407
-9.99,2,0.872301
-10.0,1,0.872741
-10.0,1,0.873179
-9.99,2,0.874094
-10.0,1,0.874572
-10.0,1,0.875012
-10.0,1,0.875457
-10.0,1,0.875923
-10.0,1,0.876507
-10.0,1,0.877032
-10.0,1,0.877529
-10.0,1,0.878027
-10.0,1,0.87854
-10.0,1,0.879042
-10.0,1,0.879506
-10.0,1,0.879953
-10.0,1,0.880416
-10.0,1,0.880875
-10.0,1,0.88134
-10.0,1,0.881786
-10.0,1,0.882236
-10.0,1,0.882676
-10.0,1,0.883134
-10.0,1,0.883578
-10.0,1,0.884024
-10.0,1,0.884465
-9.99,2,0.885466
-10.0,1,0.88608
-10.0,1,0.886543
-10.0,1,0.886977
-10.0,1,0.887411
-10.0,1,0.887864
-10.0,1,0.888307
-10.0,1,0.888739
-10.0,1,0.889165
-10.0,1,0.889586
-10.0,1,0.890021
-10.0,1,0.890457
-10.0,1,0.890904
-10.0,1,0.891361
-10.0,1,0.891807
-10.0,1,0.892258
-10.0,1,0.892711
-10.0,1,0.893139
-10.0,1,0.893571
-10.0,1,0.894001
