#{"t_start": 1772926217.36163, "env_id": "None"}
r,l,t
-10.0,1,0.866042
-9.99,2,0.866941
-10.0,1,0.867384
-10.0,1,0.867823
-10.0,1,0.86826
-10.0,1,0.86891
-10.0,1,0.869505
-10.0,1,0.870002
-10.0,1,0.870438
-10.0,1,0.870875
-10.0,1,0.871308
-10.0,1,0.871756
-10.0,1,0.872189
-10.0,1,0.87262
-10.0,1,0.873061
-10.0,1,0.873495
-10.0,1,0.873927
-10.0,1,0.874361
-10.0,1,0.874794
-10.0,1,0.875224
-10.0,1,0.875656
-10.0,1,0.876104
-10.0,1,0.876536
-10.0,1,0.876968
-10.0,1,0.877398
-10.0,1,0.87783
-10.0,1,0.878261
-10.0,1,0.878856
-10.0,1,0.879415
-10.0,1,0.879913
-10.0,1,0.880403
-10.0,1,0.880915
-10.0,1,0.881395
-10.0,1,0.88188
-10.0,1,0.882487
-10.0,1,0.883016
-10.0,1,0.883465
-9.99,2,0.884318
-10.0,1,0.884756
-10.0,1,0.885188
-9.99,2,0.886048
-10.0,1,0.886497
-10.0,1,0.886941
-10.0,1,0.887381
-10.0,1,0.887822
-10.0,1,0.88826
-10.0,1,0.888987
-10.0,1,0.889458
-10.0,1,0.889893
-10.0,1,0.890339
-10.0,1,0.890777
-10.0,1,0.891207
-10.0,1,0.891637
-10.0,1,0.892061
-10.0,1,0.892492
-10.0,1,0.89292
-10.0,1,0.89335
-10.0,1,0.893779
-10.0,1,0.894213
-10.0,1,0.894662
-10.0,1,0.895094
-10.0,1,0.895525
-10.0,1,0.895954
-9.99,2,0.896792
-10.0,1,0.897227
-10.0,1,0.89766
-10.0,1,0.898091
-10.0,1,0.898553
-10.0,1,0.899394
-10.0,1,0.899972
-10.0,1,0.900456
-10.0,1,0.900888
-10.0,1,0.901321
-10.0,1,0.901753
-10.0,1,0.902183
-10.0,1,0.902619
-10.0,1,0.903058
-10.0,1,0.903487
-10.0,1,0.903935
-10.0,1,0.90437
-10.0,1,0.904812
-10.0,1,0.905244
-10.0,1,0.905665
-9.99,2,0.906499
-10.0,1,0.906936
-10.0,1,0.907369
-10.0,1,0.9078
-10.0,1,0.908244
-10.0,1,0.909006
-10.0,1,0.909703
-10.0,1,0.910245
-10.0,1,0.910757
-10.0,1,0.91129
-10.0,1,0.911762
-10.0,1,0.912193
-10.0,1,0.912625
-10.0,1,0.913065
-10.0,1,0.913513
-10.0,1,0.913944
-10.0,1,0.914374
-10.0,1,0.914809
-10.0,1,0.915238
-10.0,1,0.915668
-10.0,1,0.916099
-10.0,1,0.916527
-10.0,1,0.916959
-10.0,1,0.917393
-9.98,3,0.918877
-10.0,1,0.919632
-10.0,1,0.920257
-10.0,1,0.920884
-10.0,1,0.921439
-10.0,1,0.922039
-10.0,1,0.922611
-10.0,1,0.923114
-10.0,1,0.923698
-10.0,1,0.92424
-10.0,1,0.924751
-10.0,1,0.925244
-10.0,1,0.925793
-10.0,1,0.926386
-10.0,1,0.927039
-10.0,1,0.927662
-10.0,1,0.928265
-10.0,1,0.928774
-10.0,1,0.929278
-9.99,2,0.930229
-10.0,1,0.930709
-10.0,1,0.931188
-10.0,1,0.931726
-10.0,1,0.932246
-10.0,1,0.932707
-10.0,1,0.933163
-9.99,2,0.934042
